region;ejecutivo;distr;venta_prom
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;4039340
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6888981
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;147025
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1648261
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;1023699
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1110112
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;264928
LLANOS;Ejecutivo LLANOS;LA NIEVE SJG;1107679
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;185730
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;287922
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2710134
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;767854
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;652057
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;397835
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;755341
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;366361
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;46102122
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1079459
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1468276
COSTA 2;Ejecutivo COSTA 2;SANTANA;14039105
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;701665
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;862844
COSTA 2;Ejecutivo COSTA 2;SANTANA;10912478
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;501978
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2451462
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;823873
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;6474310
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);23796331
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;945854
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;419702
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5277840
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;56844
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2891570
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2826945
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;2374670
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;3082225
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;811703
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;865282
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;655763
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;11811101
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;905974
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;1776173
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;3046250
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;515047
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;1000139
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;6508224
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1201659
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;9148459
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1138145
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;6555492
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;91660
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;76602
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1495194
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;471858
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS BUENAVENTURA;997649
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2020976
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;10067811
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;1948757
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;384176
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;36798
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1063579
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;3213572
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;64227
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1361546
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;779775
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;4872442
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4922487
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;217433
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;3576423
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;297749
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;828666
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;431442
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;720551
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;87779
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1041363
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;203828
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;670249
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;19410
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2932872
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1557586
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;728477
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1529302
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;929881
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;398671
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3473944
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;8993824
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;1966386
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1959252
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;4137175
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;633191
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;6732
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;504928
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;505392
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;987995
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;2059736
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1295080
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);3511464
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;2921526
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1590879
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5725910
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;701110
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1209673
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;3976143
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1481785
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1442028
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;1925614
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;4228898
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;2248574
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;614159
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;913664
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3892670
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;548084
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1732865
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;172044
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1242248
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;963880
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1869172
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;9450759
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5464318
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1006758
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;4811758
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;73163
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;312610
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2455082
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;465886
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;976019
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;3333234
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;189078
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;12088
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;333150
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;651170
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;734040
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;2191565
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2305700
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1015781
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;311346
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1027782
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;270880
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;2058389
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1408210
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;2372323
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;33380
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;152567
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;4191632
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;652579
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;589096
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;71877
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;629879
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2256201
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1034572
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;162139
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;738804
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;58870
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;208956
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);3880502
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1501425
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;921660
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;457240
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS BUENAVENTURA;1650270
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;218600
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1707934
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;3056498
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;76289
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;6378581
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;6471
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;946495
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;189981
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;938348
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;3145940
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1134780
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1080692
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;48248
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1301108
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;191216
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;29570
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;226990
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;874635
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;2275307
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;740682
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;2822410
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4337982
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2908808
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;12448
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;487754
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1572261
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;894529
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;659051
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;102912
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;892931
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;4981766
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;33410700
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;5727283
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2722272
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;372603
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;4600575
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;10216879
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;424848
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;4475413
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1304109
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;517534
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;1059883
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;5526154
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;721953
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;71378
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;371815
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;4662252
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1747119
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;297123
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;4552140
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;32065445
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1388710
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1141835
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;690290
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;942617
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;918561
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;28834828
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;1526525
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1102900
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;1830107
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1672751
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;148757
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2042856
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;763059
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;1013133
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;331988
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;18573969
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1144306
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;183657
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;696614
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;15497852
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;370099
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;12397226
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;8322163
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2196636
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;1033537
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;648488
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;225455
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2230510
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;4321877
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;88964
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5600722
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2729776
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;49055
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;491399
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;526927
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;12241462
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1630538
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;141221
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;4105926
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;174700
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;463022
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;594830
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;5880849
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;531823
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;203812
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;5120867
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;4067941
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;789800
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1911727
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2532132
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2956645
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5780409
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);4582693
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;3829503
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;30038708
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;2433845
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;17876
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;600127
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;17408587
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;574847
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;230732
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;107298
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;449815
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;845169
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS BUENAVENTURA;1345800
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;966124
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4965118
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1424902
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;21064027
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;988167
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3271269
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;3259234
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;7973878
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1673709
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;864491
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;68440
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;381087
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;769098
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;5034348
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2266978
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;1238450
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5659626
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2989105
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;2758687
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2502731
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;3153682
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;182461
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;767783
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;224292
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1677692
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;3993884
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;4712810
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;200133
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;964513
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1675297
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;879101
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;1821554
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4181046
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;3366
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;475885
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;318219
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1043829
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;369231
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;2711338
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;164063
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;1076772
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;1037704
LLANOS;Ejecutivo LLANOS;LA NIEVE SJG;3379526
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;88210
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1703047
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;1729391
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1277479
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;915873
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;103396
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1636933
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;94695
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;3994704
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;1916034
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;571113
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1179849
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1545219
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;28297
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2236160
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;492588
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;390359
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;568023
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;122243
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;19555795
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;4541099
