region;ejecutivo;distr;venta_prom
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;1915980
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;3928241
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1335329
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;617038
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2292784
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;796211
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1436662
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;4954414
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1037725
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;272956
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;895916
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;3424037
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;222323
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1485639
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;1858433
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;775104
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;3864910
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1617215
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;295044
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6459905
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1944228
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;5686788
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;717131
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;7312704
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;14729
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;3741876
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;827344
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;4978116
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1321477
COSTA 2;Ejecutivo COSTA 2;SANTANA;16908778
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2673587
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;477097
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;161283
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1430003
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;615546
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1133884
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1805619
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;152081
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;690419
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;10978039
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;6243
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;233921
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1747921
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS BUENAVENTURA;166021
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1163936
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;16667
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1058089
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;1337665
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;21621
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1255398
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;69915195
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;690795
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;40640421
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;306794
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1577526
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;895752
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;946692
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;519969
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;393199
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;368969
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;4699165
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;27902
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;445823
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;732862
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;9040
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;5132004
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1686940
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1073695
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2784102
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;10862
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;89408
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1553859
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1461405
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;949577
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;150492
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;112791
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;661878
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;161001
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;-378701
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;824260
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;955301
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;447527
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1001456
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;382331
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;1148260
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4307368
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;61954
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;2083160
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;690178
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;4994174
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;53795
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO GUAJIRA;4076953
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;846782
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;904271
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1072595
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;442213
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;184898
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;119392
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;7604
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);6355298
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2153626
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;458006
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;596800
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;148243
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;4579873
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;884173
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;258002
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;961181
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;7536513
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1494440
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;529567
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;533314
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;2242990
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS POPAYAN;1193548
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;3393169
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4054789
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1097713
EJE CAFETERO;Ejecutivo EJE CAFETERO;CG ANDINA S.A.S;4930088
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;990876
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;2609902
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;620798
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;146218
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;231079
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;4545631
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;2430410
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1880159
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;91970
COSTA 2;Ejecutivo COSTA 2;DISAM GUAJIRA;3778278
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;713227
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2714200
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;996560
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;507955
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4828903
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;7354964
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;368245
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2601274
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;92443
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;3692546
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;865439
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1305308
